rank,content_id,baseline_score,reason_code,action,impressions_90d,ctr,avg_position
106,content_647e177596e9,0.9226131912577229,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",111222,0.09,7.4
107,content_45636736e912,0.9224409728959303,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",112364,0.5,3.0
108,content_e20c996edc34,0.9223675669144132,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",108434,0.15,6.4
109,content_ae059ff4f1a3,0.9221155259751506,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",89761,0.09,4.0
110,content_63f88d16fdb8,0.9219747972246815,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",99013,0.03,6.4
111,content_87dfc063bf4e,0.9217629715961206,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",90991,0.08,4.5
112,content_ae2af765d276,0.9216563509817539,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",129864,0.57,5.0
113,content_ba2acb4ebd04,0.9215876204437613,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",142072,0.83,3.6
114,content_5bca3620478c,0.9211816412701311,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",102161,0.24,4.9
115,content_3fa65e28171d,0.921144300865235,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",111144,0.27,6.0
116,content_467d563aa136,0.920976626539739,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",107854,0.32,5.0
117,content_e20bbfd91826,0.9207829646546823,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",100972,0.15,5.9
118,content_ea60515fd480,0.9206336735983565,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",148515,0.81,5.0
119,content_3f38d9d022e2,0.9206266537015471,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",91906,0.21,3.7
120,content_5d3dfb80a423,0.9200408107297042,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",97235,0.07,6.5
121,content_65c12751b84f,0.9199846240097511,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",97828,0.24,4.7
122,content_2af283892b11,0.9198789546720048,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",90684,0.14,4.6
123,content_e4c7e6538cd1,0.9198716839417778,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",107064,0.37,4.8
124,content_d296f221f23b,0.919792996981343,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",131977,0.72,4.4
125,content_396019fec61a,0.9197549455365016,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",83362,0.09,3.8
126,content_bee1b9e39df7,0.9196322888622588,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",88231,0.1,4.7
127,content_fea6a0d13b4a,0.9195840366883763,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",79965,0.07,3.4
128,content_3ec5b905ff5e,0.9195644910523102,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",98559,0.1,6.6
129,content_7d7be59d2100,0.9194052828663795,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",94767,0.33,3.4
130,content_e5bd84586ccf,0.9190596100052728,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",117054,0.57,4.4
131,content_5b827a6be1c6,0.9188262673003971,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",94072,0.28,4.1
132,content_23d452af4198,0.9187461422965596,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",117948,0.77,2.4
133,content_867dc005867d,0.9179251420206092,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",95522,0.1,6.8
134,content_88d1a23c7ab5,0.917866647898734,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",90393,0.17,5.1
135,content_4d1fe5b32dc2,0.9178575158272231,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",97999,0.52,2.5
136,content_24792450aff3,0.917642373364052,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",116249,0.58,4.8
137,content_30e786775ba6,0.9174430278820299,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",88685,0.07,6.1
138,content_d312eb371bcf,0.9173235501521283,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",95031,0.16,6.3
139,content_b28d1efd668f,0.9170558379157943,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",286608,0.06,26.2
